Nombre del Servicio,Descripción,Vínculo (servicio relacionado),Categoría,Fecha de venta,Mes de inicio de cobro,Fecha de Revisión de Valor,Frecuencia (ventas),Frecuencia (cobros),Precio,Importe facturado,Precio total (plazos),IVA,Cliente Fundador/ Impulso Digital,Activo en catálogo,Gastos,Notas
N3 Bonus,,"""""""50, 92""""""",Bonus por Éxito   ,,,,0,0,"€480,00","0,00 €",,21%,,,,
N4 Bonus,,"""""""57,193,267""""""",Bonus por Éxito,,,,0,0,"€1.500,00","0,00 €",,21%,,,,
N5 Bonus (semestral),,"""""""110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129""""""",Bonus por Éxito,,,,0,0,"€2.800,00","0,00 €",,21%,,,,
"Formación ""Despertar""",,,Puntual,1/3/2026,1/3/2026,,1,1,"€150,00","150,00 €",,0%,,checked,,
Desarrollo Web,Proyecto Foro: Plazo 1,,Puntual,23/3/2026,23/3/2026,,1,1,"€900,00","1.089,00 €","€1.800,00",21%,,,,
Desarrollo Web,Proyecto Foro: Plazo 2,5,Puntual,23/3/2026,23/4/2026,,0,1,"€900,00","1.089,00 €","€1.800,00",21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/4/2026,1/4/2026,,1,1,"€149,00","180,29 €",,21%,,checked,,
CultureCraft: Escucha,,,Puntual,1/4/2026,1/4/2026,,3,3,"€49,00","177,87 €",,21%,,checked,,
N1: Auditoría de Salud,,,Puntual,1/4/2026,1/5/2026,,1,1,"€950,00","689,70 €",,21%,checked,checked,,
PersonaCraft: Estratega,,,Pay per Use,1/4/2026,1/4/2026,,2,2,"€79,00","191,18 €",,21%,,checked,,
PersonaCraft: Explorador,,,Puntual,1/4/2026,1/4/2026,,4,4,"€39,00","188,76 €",,21%,,checked,,
CultureCraft: Alineación,,,Pay per Use,1/5/2026,1/5/2026,,1,1,"€149,00","180,29 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/5/2026,1/5/2026,,3,3,"€49,00","177,87 €",,21%,,,,
N1: Auditoría de Salud,,,Puntual,1/5/2026,1/6/2026,,1,1,"€950,00","689,70 €",,21%,checked,,,
PersonaCraft: Estratega,,,Pay per Use,1/5/2026,1/5/2026,,2,2,"€79,00","191,18 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/5/2026,1/5/2026,,4,4,"€39,00","188,76 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/5/2026,1/5/2026,,1,1,"€89,00","107,69 €",,21%,,checked,,
CultureCraft: Alineación,,,Pay per Use,1/6/2026,1/6/2026,,2,2,"€149,00","360,58 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/6/2026,1/6/2026,,4,4,"€49,00","237,16 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/6/2026,1/6/2026,,3,3,"€79,00","286,77 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/6/2026,1/6/2026,,6,6,"€39,00","283,14 €",,21%,,,,
SourceCraft: Monitor,,,Recurrente Pasivo,1/6/2026,1/6/2026,,1,1,"€129,00","156,09 €",,21%,,checked,,
SourceCraft: Monitor,,22,Recurrente Pasivo,1/6/2026,1/7/2026,,0,1,"€129,00","156,09 €",,21%,,,,
SourceCraft: Monitor,,22,Recurrente Pasivo,1/6/2026,1/8/2026,,0,1,"€129,00","156,09 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/7/2026,1/7/2026,,2,2,"€149,00","360,58 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/7/2026,1/7/2026,,4,4,"€49,00","237,16 €",,21%,,,,
N2: Diagnóstico XAI,,,Puntual,1/7/2026,1/8/2026,,1,1,"€1.850,00","1.343,10 €",,21%,checked,checked,,
PersonaCraft: Dominio,,,Pay per Use,1/7/2026,1/7/2026,,1,1,"€199,00","240,79 €",,21%,,checked,,
PersonaCraft: Estratega,,,Pay per Use,1/7/2026,1/7/2026,,3,3,"€79,00","286,77 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/7/2026,1/7/2026,,6,6,"€39,00","283,14 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/7/2026,1/7/2026,,1,1,"€89,00","107,69 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/8/2026,1/8/2026,,1,1,"€149,00","180,29 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/8/2026,1/8/2026,,2,2,"€49,00","118,58 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/8/2026,1/8/2026,,2,2,"€79,00","191,18 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/8/2026,1/8/2026,,3,3,"€39,00","141,57 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/9/2026,1/9/2026,,3,3,"€149,00","540,87 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/9/2026,1/9/2026,,6,6,"€49,00","355,74 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/9/2026,1/9/2026,,1,1,"€499,00","603,79 €",,21%,,checked,,
"Formación ""Immersion""",,,Puntual,1/9/2026,1/9/2026,,1,1,"€1.500,00","1.815,00 €",,21%,,checked,,
N1: Auditoría de Salud,,,Puntual,1/9/2026,1/10/2026,,1,1,"€950,00","689,70 €",,21%,checked,,,
PersonaCraft: Estratega,,,Pay per Use,1/9/2026,1/9/2026,,5,5,"€79,00","477,95 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/9/2026,1/9/2026,,8,8,"€39,00","377,52 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/9/2026,1/9/2026,,2,2,"€89,00","215,38 €",,21%,,,,
SourceCraft: Monitor,,,Recurrente Pasivo,1/9/2026,1/9/2026,,1,2,"€129,00","312,18 €",,21%,,,,
SourceCraft: Monitor,,44,Recurrente Pasivo,1/9/2026,1/10/2026,,0,2,"€129,00","312,18 €",,21%,,,,
SourceCraft: Monitor,,44,Recurrente Pasivo,1/9/2026,1/11/2026,,0,2,"€129,00","312,18 €",,21%,,,,
SourceCraft: Monitor,,44,Recurrente Pasivo,1/9/2026,1/12/2026,,0,2,"€129,00","312,18 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/10/2026,1/10/2026,,3,3,"€149,00","540,87 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/10/2026,1/10/2026,,6,6,"€49,00","355,74 €",,21%,,,,
N3: Brújula Predictiva,,,Puntual,1/10/2026,1/11/2026,,1,1,"€3.200,00","2.323,20 €",,21%,checked,checked,,
PersonaCraft: Dominio,,,Pay per Use,1/10/2026,1/10/2026,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/10/2026,1/10/2026,,5,5,"€79,00","477,95 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/10/2026,1/10/2026,,8,8,"€39,00","377,52 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/11/2026,1/11/2026,,4,4,"€149,00","721,16 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/11/2026,1/11/2026,,8,8,"€49,00","474,32 €",,21%,,,,
"Formación ""Despertar""",,,Puntual,1/11/2026,1/11/2026,,1,1,"€150,00","150,00 €",,0%,,,,
N4: Módulo de Anticipación,Plazo 1,,Puntual,1/11/2026,1/11/2026,,1,1,"€3.750,00","4.537,50 €","€7.500,00",21%,,checked,,
N4: Módulo de Anticipación,Plazo 2,57,Puntual,1/11/2026,1/1/2027,,0,1,"€3.750,00","4.537,50 €","€7.500,00",21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/11/2026,1/11/2026,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/11/2026,1/11/2026,,10,10,"€39,00","471,90 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/11/2026,1/11/2026,,2,2,"€89,00","215,38 €",,21%,,,,
SourceCraft: Global,,,Recurrente Pasivo,1/11/2026,1/11/2026,,1,1,"€349,00","422,29 €",,21%,,checked,,
SourceCraft: Global,,62,Recurrente Pasivo,1/11/2026,1/12/2026,,0,1,"€349,00","422,29 €",,21%,,,,
SourceCraft: Global,,62,Recurrente Pasivo,1/11/2026,1/1/2027,,0,1,"€349,00","422,29 €",,21%,,,,
SourceCraft: Global,,62,Recurrente Pasivo,1/11/2026,1/2/2027,,0,1,"€349,00","422,29 €",,21%,,,,
SourceCraft: Global,,62,Recurrente Pasivo,1/11/2026,1/3/2027,,0,1,"€349,00","422,29 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/12/2026,1/11/2026,,4,4,"€149,00","721,16 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/12/2026,1/11/2026,,8,8,"€49,00","474,32 €",,21%,,,,
PersonaCraft: Dominio,,,Pay per Use,1/12/2026,1/10/2026,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/12/2026,1/11/2026,,6,6,"€79,00","573,54 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/12/2026,1/11/2026,,10,10,"€39,00","471,90 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/1/2027,1/1/2027,,3,3,"€149,00","540,87 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/1/2027,1/1/2027,,6,6,"€49,00","355,74 €",,21%,,,,
N1: Auditoría de Salud,,,Puntual,1/1/2027,1/2/2027,,1,1,"€950,00","689,70 €",,21%,checked,,,
PersonaCraft: Estratega,,,Pay per Use,1/1/2027,1/1/2027,,4,4,"€79,00","382,36 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/1/2027,1/1/2027,,8,8,"€39,00","377,52 €",,21%,,,,
SourceCraft: Monitor,,,Recurrente Pasivo,1/1/2027,1/1/2027,,1,3,"€129,00","468,27 €",,21%,,,,
SourceCraft: Monitor,,77,Recurrente Pasivo,1/1/2027,1/2/2027,,0,3,"€129,00","468,27 €",,21%,,,,
SourceCraft: Monitor,,77,Recurrente Pasivo,1/1/2027,1/3/2027,,0,3,"€129,00","468,27 €",,21%,,,,
SourceCraft: Monitor,,77,Recurrente Pasivo,1/1/2027,1/4/2027,,0,3,"€129,00","468,27 €",,21%,,,,
SourceCraft: Monitor,,77,Recurrente Pasivo,1/1/2027,1/5/2027,,0,3,"€129,00","468,27 €",,21%,,,,
SourceCraft: Monitor,,77,Recurrente Pasivo,1/1/2027,1/6/2027,,0,3,"€129,00","468,27 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/2/2027,1/2/2027,,3,3,"€149,00","540,87 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/2/2027,1/2/2027,,6,6,"€49,00","355,74 €",,21%,,,,
CultureCraft: Talent Growth,,,Pay per Use,1/2/2027,1/2/2027,,1,1,"€499,00","603,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/2/2027,1/2/2027,,4,4,"€79,00","382,36 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/2/2027,1/2/2027,,8,8,"€39,00","377,52 €",,21%,,,,
SourceCraft: Audit,,,Puntual,1/2/2027,1/2/2027,,1,1,"€89,00","107,69 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/3/2027,1/3/2027,,3,3,"€149,00","540,87 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/3/2027,1/3/2027,,6,6,"€49,00","355,74 €",,21%,,,,
N1: Auditoría de Salud,,,Puntual,1/3/2027,1/4/2027,,1,1,"€950,00","1.149,50 €",,21%,,,,
N3: Brújula Predictiva,,,Puntual,1/3/2027,1/4/2027,,1,1,"€3.200,00","2.323,20 €",,21%,checked,,,
PersonaCraft: Dominio,,,Pay per Use,1/3/2027,1/3/2027,,1,1,"€199,00","240,79 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/3/2027,1/3/2027,,4,4,"€79,00","382,36 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/3/2027,1/3/2027,,8,8,"€39,00","377,52 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/4/2027,1/4/2027,,4,4,"€149,00","721,16 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/4/2027,1/4/2027,,8,8,"€49,00","474,32 €",,21%,,,,
"Formación ""Immersion""",,,Puntual,1/4/2027,1/4/2027,,1,1,"€1.500,00","1.815,00 €",,21%,,,,
PersonaCraft: Estratega,,,Pay per Use,1/4/2027,1/4/2027,,5,5,"€79,00","477,95 €",,21%,,,,
PersonaCraft: Explorador,,,Puntual,1/4/2027,1/4/2027,,10,10,"€39,00","471,90 €",,21%,,,,
SourceCraft: Global,,,Recurrente Pasivo,1/4/2027,1/4/2027,,1,2,"€349,00","844,58 €",,21%,,,,
SourceCraft: Global,,101,Recurrente Pasivo,1/4/2027,1/5/2027,,0,2,"€349,00","844,58 €",,21%,,,,
SourceCraft: Global,,101,Recurrente Pasivo,1/4/2027,1/6/2027,,0,2,"€349,00","844,58 €",,21%,,,,
SourceCraft: Global,,101,Recurrente Pasivo,1/4/2027,1/8/2027,,0,2,"€349,00","844,58 €",,21%,,,,
SourceCraft: Global,,101,Recurrente Pasivo,1/4/2027,1/7/2027,,0,2,"€349,00","844,58 €",,21%,,,,
SourceCraft: Global,,101,Recurrente Pasivo,1/4/2027,1/9/2027,,0,2,"€349,00","844,58 €",,21%,,,,
CultureCraft: Alineación,,,Pay per Use,1/5/2027,1/5/2027,,4,4,"€149,00","721,16 €",,21%,,,,
CultureCraft: Escucha,,,Puntual,1/5/2027,1/5/2027,,8,8,"€49,00","474,32 €",,21%,,,,
N1: Auditoría de Salud,,,Puntual,1/5/2027,1/6/2027,,1,1,"€950,00","1.149,50 €",,21%,,,,
N5: Partner IA,,,Recurrente Activo,1/5/2027,1/6/2027,,1,1,"€2.800,00","3.388,00 €",,21%,,checked,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/7/2027,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/8/2027,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/9/2027,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/10/2027,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/11/2027,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/12/2027,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/1/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/2/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/3/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/4/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/5/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/6/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/7/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/8/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/9/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/10/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/11/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
N5: Partner IA,,110,Recurrente Activo,1/5/2027,1/12/2028,,0,1,"€2.800,00","3.388,00 €",,21%,,,,
